Series_ID,Year,Month,Month_Name,Pred_Active,Prob_Active,Pred_Revenue
CLIENT_036_ROUTE_046_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9739,3916.91
CLIENT_037_ROUTE_055_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.9838,15102.81
CLIENT_037_ROUTE_055_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9835,53907.05
CLIENT_038_ROUTE_056_SUPPLIERCONNECTION_003_NETWORK_007,2025,1,Jan,1,0.9852,5945.35
CLIENT_039_ROUTE_057_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1819,0.0
CLIENT_040_ROUTE_058_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,0,0.0882,0.0
CLIENT_040_ROUTE_058_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9852,17539.04
CLIENT_041_ROUTE_008_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,0,0.031,0.0
CLIENT_041_ROUTE_008_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9852,18515.69
CLIENT_042_ROUTE_059_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.9838,5665.7
CLIENT_042_ROUTE_059_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9811,3744.08
CLIENT_043_ROUTE_060_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1946,0.0
CLIENT_044_ROUTE_061_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9145,2190.6
CLIENT_045_ROUTE_062_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9852,5203.87
CLIENT_047_ROUTE_064_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.8965,8084.53
CLIENT_047_ROUTE_064_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9781,3998.69
CLIENT_048_ROUTE_065_SUPPLIERCONNECTION_003_NETWORK_007,2025,1,Jan,1,0.715,2660.52
CLIENT_050_ROUTE_067_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.9838,5138.5
CLIENT_050_ROUTE_067_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9838,8361.69
CLIENT_050_ROUTE_068_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1326,0.0
CLIENT_051_ROUTE_070_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,0,0.2234,0.0
CLIENT_051_ROUTE_070_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.0616,0.0
CLIENT_052_ROUTE_071_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1946,0.0
CLIENT_053_ROUTE_072_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1932,0.0
CLIENT_054_ROUTE_073_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9852,5731.06
CLIENT_001_ROUTE_002_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,0,0.2302,0.0
CLIENT_001_ROUTE_002_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9518,7315.68
CLIENT_002_ROUTE_003_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.166,0.0
CLIENT_002_ROUTE_004_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9852,7315.68
CLIENT_003_ROUTE_001_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.1191,0.0
CLIENT_003_ROUTE_001_SUPPLIERCONNECTION_003_NETWORK_007,2025,2,Feb,0,0.0433,0.0
CLIENT_004_ROUTE_005_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.0433,0.0
CLIENT_005_ROUTE_006_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.047,0.0
CLIENT_006_ROUTE_007_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3843,0.0
CLIENT_007_ROUTE_009_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,0,0.0759,0.0
CLIENT_007_ROUTE_009_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9739,11792.07
CLIENT_008_ROUTE_010_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.047,0.0
CLIENT_009_ROUTE_011_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.047,0.0
CLIENT_010_ROUTE_012_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.5126,9383.88
CLIENT_011_ROUTE_013_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9852,9664.96
CLIENT_012_ROUTE_014_SUPPLIERCONNECTION_003_NETWORK_001,2025,2,Feb,0,0.3843,0.0
CLIENT_012_ROUTE_014_SUPPLIERCONNECTION_003_NETWORK_007,2025,2,Feb,1,0.9852,10167.33
CLIENT_013_ROUTE_015_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,0,0.1227,0.0
CLIENT_013_ROUTE_016_SUPPLIERCONNECTION_004_NETWORK_007,2025,2,Feb,1,0.9808,3141834.75
CLIENT_014_ROUTE_017_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9844,9664.96
CLIENT_015_ROUTE_018_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.2147,0.0
CLIENT_016_ROUTE_019_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9805,7315.68
